iter	RMSE
0	16.87091935
1	16.2028249
2	15.61564713
3	15.24544521
4	14.90694741
5	14.53238771
6	14.21116779
7	13.91901162
8	13.7233245
9	13.47276868
10	13.30340346
11	13.13590603
12	12.9593109
13	12.78827585
14	12.66571046
15	12.55881874
16	12.41857
17	12.36622223
18	12.28998344
19	12.21179151
20	12.15214175
21	12.07512508
22	11.98374797
23	11.93920104
24	11.90565889
25	11.83450807
26	11.81480779
27	11.78517022
28	11.75333686
29	11.7067387
30	11.69925798
31	11.63911155
32	11.59587843
33	11.56350269
34	11.53914143
35	11.52095952
36	11.4806207
37	11.45685205
38	11.41967129
39	11.40294128
40	11.391818
41	11.37758318
42	11.37296112
43	11.36491226
44	11.35084735
45	11.32762072
46	11.30109919
47	11.2845479
48	11.27124347
49	11.25412399
50	11.23816495
51	11.22308364
52	11.19957467
53	11.1765958
54	11.16789868
55	11.16193531
56	11.14852627
57	11.1352333
58	11.127897
59	11.11508954
60	11.10514358
61	11.0984164
62	11.0912244
63	11.08717732
64	11.0829867
65	11.07806663
66	11.07327784
67	11.05735295
68	11.05122589
69	11.04829175
70	11.04284334
71	11.03291778
72	11.02357331
73	11.01171639
74	11.0106927
75	10.98731534
76	10.95487259
77	10.93539591
78	10.93155904
79	10.91649376
80	10.91223893
81	10.90314955
82	10.8947005
83	10.88621868
84	10.86725892
85	10.85253354
86	10.82822076
87	10.82511744
88	10.81846088
89	10.81044972
90	10.79356583
91	10.77770815
92	10.77178955
93	10.75885236
94	10.75137839
95	10.7384963
96	10.72044444
97	10.7146151
98	10.71000771
99	10.70744683
100	10.69911087
101	10.69070663
102	10.68279223
103	10.67315611
104	10.66479831
105	10.66326442
106	10.65581096
107	10.63902818
108	10.63516368
109	10.62201325
110	10.61470555
111	10.61168588
112	10.6105287
113	10.60219904
114	10.58594518
115	10.57218824
116	10.56569087
117	10.56093353
118	10.55729562
119	10.53988759
120	10.53762619
121	10.52675836
122	10.51862566
123	10.51332724
124	10.50394923
125	10.4944829
126	10.49300926
127	10.48930922
128	10.47951204
129	10.47275271
130	10.44982407
131	10.44699184
132	10.44147765
133	10.42804067
134	10.42472217
135	10.41119964
136	10.40821193
137	10.40059186
138	10.39911879
139	10.39485188
140	10.38310622
141	10.38105521
142	10.37134246
143	10.37021889
144	10.35838614
145	10.35249071
146	10.3506476
147	10.34458048
148	10.3424321
149	10.33661489
150	10.33402147
151	10.32401861
152	10.31167148
153	10.309143
154	10.30595565
155	10.30374542
156	10.28806147
157	10.27350636
158	10.26960405
159	10.26390282
160	10.25188931
161	10.24320173
162	10.23203636
163	10.22422706
164	10.22157654
165	10.2201488
166	10.2166505
167	10.20578867
168	10.18807424
169	10.18175746
170	10.17575351
171	10.17069975
172	10.16382416
173	10.16100113
174	10.15083052
175	10.14618048
176	10.13639421
177	10.13382199
178	10.13047515
179	10.1223294
180	10.12039769
181	10.1092356
182	10.10161537
183	10.08484135
184	10.08097327
185	10.07747547
186	10.06775366
187	10.05894118
188	10.05369648
189	10.05263107
190	10.04755947
191	10.04477064
192	10.04291702
193	10.03893115
194	10.03479362
195	10.02651081
196	10.02243037
197	10.01204279
198	10.00969261
199	10.00022944
200	9.998307773
201	9.995382197
202	9.991444098
203	9.987675965
204	9.983686035
205	9.981947445
206	9.97944933
207	9.97695889
208	9.969441201
209	9.960876539
210	9.950902022
211	9.939312596
212	9.927419734
213	9.920709898
214	9.910867349
215	9.907231272
216	9.901586062
217	9.888268203
218	9.883376657
219	9.882258763
220	9.865379262
221	9.854553563
222	9.850980272
223	9.838869817
224	9.835938792
225	9.829602984
226	9.81859007
227	9.813675723
228	9.80695411
229	9.796691298
230	9.79507253
231	9.792141453
232	9.788404767
233	9.787380011
234	9.784781044
235	9.778041692
236	9.768681909
237	9.767431304
238	9.763514154
239	9.761555143
240	9.754347452
241	9.742344142
242	9.740972042
243	9.734124674
244	9.732568868
245	9.720457085
246	9.717343057
247	9.71468735
248	9.713463177
249	9.706794591
250	9.704502476
251	9.699053348
252	9.695930918
253	9.691090989
254	9.683642328
255	9.682698618
256	9.681621566
257	9.672806309
258	9.671026191
259	9.67076696
260	9.667962921
261	9.660139314
262	9.657026467
263	9.650787691
264	9.637663832
265	9.633304155
266	9.6306968
267	9.625248355
268	9.622503186
269	9.611533874
270	9.6021635
271	9.601918207
272	9.593113174
273	9.588568876
274	9.587990758
275	9.586897564
276	9.585616106
277	9.582355418
278	9.576127379
279	9.571745681
280	9.568172272
281	9.565063094
282	9.561648772
283	9.559336705
284	9.556041767
285	9.540249221
286	9.537342767
287	9.533974917
288	9.524713004
289	9.51861483
290	9.510155604
291	9.509087068
292	9.504092828
293	9.500302628
294	9.497979656
295	9.495697117
296	9.493785545
297	9.480123117
298	9.47417155
299	9.461483341
300	9.460532934
301	9.460242452
302	9.45047569
303	9.442175904
304	9.436586628
305	9.425333493
306	9.417365586
307	9.414812153
308	9.407451455
309	9.396795968
310	9.390129818
311	9.387062445
312	9.385250702
313	9.383515558
314	9.379475976
315	9.376570971
316	9.370447695
317	9.364385471
318	9.357560752
319	9.355453476
320	9.353690405
321	9.344257467
322	9.342718595
323	9.342263227
324	9.3318722
325	9.325387839
326	9.320481484
327	9.317677696
328	9.313274145
329	9.310303042
330	9.303418298
331	9.299328484
332	9.299144634
333	9.295628217
334	9.293498953
335	9.290776695
336	9.285816754
337	9.284428809
338	9.279016245
339	9.274834837
340	9.272656188
341	9.270628519
342	9.269240335
343	9.268537258
344	9.26280101
345	9.261942753
346	9.254924395
347	9.250416759
348	9.244990768
349	9.241858939
350	9.237637497
351	9.23058766
352	9.229683042
353	9.226871714
354	9.222806555
355	9.217777029
356	9.215490183
357	9.214972895
358	9.213471896
359	9.206445215
360	9.202447183
361	9.197107933
362	9.191362439
363	9.188965284
364	9.188430241
365	9.185618318
366	9.18048508
367	9.175484858
368	9.174296233
369	9.172270631
370	9.165745158
371	9.160582149
372	9.157928371
373	9.145123375
374	9.142803954
375	9.138639356
376	9.130778993
377	9.128915573
378	9.125898164
379	9.125280792
380	9.123772085
381	9.119370786
382	9.109980312
383	9.108731692
384	9.103161058
385	9.099822007
386	9.098967863
387	9.092769618
388	9.083511805
389	9.082885996
390	9.07929288
391	9.075897666
392	9.074105902
393	9.071427116
394	9.063874227
395	9.062513838
396	9.059542497
397	9.056725287
398	9.048232976
399	9.039737378
400	9.033441931
401	9.029324577
402	9.026398929
403	9.024207802
404	9.020013339
405	9.016953745
406	9.013046421
407	9.00657999
408	9.006267901
409	8.995441109
410	8.993119617
411	8.992023926
412	8.987343698
413	8.985794198
414	8.983416323
415	8.981378526
416	8.980118235
417	8.977403807
418	8.976402882
419	8.969778906
420	8.969036221
421	8.967577769
422	8.962227367
423	8.958792484
424	8.949997304
425	8.945205512
426	8.941306842
427	8.934773757
428	8.93419773
429	8.924884594
430	8.923935733
431	8.921040012
432	8.915182418
433	8.912481214
434	8.910992997
435	8.909722528
436	8.905314362
437	8.893756321
438	8.889773988
439	8.885439583
440	8.879204122
441	8.877601689
442	8.875654352
443	8.872816399
444	8.871553154
445	8.86774186
446	8.865561707
447	8.861085195
448	8.85376805
449	8.853123679
450	8.851685089
451	8.848092775
452	8.845317823
453	8.840640556
454	8.834878523
455	8.833109668
456	8.830726809
457	8.824801439
458	8.818568799
459	8.81576614
460	8.813575456
461	8.808033803
462	8.803700561
463	8.796821871
464	8.79276041
465	8.792068413
466	8.788132784
467	8.779178469
468	8.77473399
469	8.764486352
470	8.762148428
471	8.753548414
472	8.749410769
473	8.748670609
474	8.746444209
475	8.746138531
476	8.743498443
477	8.741626961
478	8.733228526
479	8.73046623
480	8.725078955
481	8.716593205
482	8.714731904
483	8.710041214
484	8.706848424
485	8.704788051
486	8.699470181
487	8.69653567
488	8.693843501
489	8.692051875
490	8.684438062
491	8.680894605
492	8.678727232
493	8.674492318
494	8.668551461
495	8.664246828
496	8.660911731
497	8.659963858
498	8.657230386
499	8.65147474
500	8.645053224
501	8.642718008
502	8.639593681
503	8.63776817
504	8.634878714
505	8.631319365
506	8.630408415
507	8.626625053
508	8.624897001
509	8.62133749
510	8.615009884
511	8.608436169
512	8.605461172
513	8.604625844
514	8.599319255
515	8.59546277
516	8.593690153
517	8.58999872
518	8.587141364
519	8.58013057
520	8.57472745
521	8.570037455
522	8.567907545
523	8.562962426
524	8.562464074
525	8.561352222
526	8.556525446
527	8.555342319
528	8.554638683
529	8.550661705
530	8.548047071
531	8.545393416
532	8.537925436
533	8.53726986
534	8.534116674
535	8.532474313
536	8.531418649
537	8.527718226
538	8.523065609
539	8.520545126
540	8.514214322
541	8.511452275
542	8.511059569
543	8.508918067
544	8.508475485
545	8.503142103
546	8.497916571
547	8.497174616
548	8.496871048
549	8.495338594
550	8.491588425
551	8.490531829
552	8.489716099
553	8.482612336
554	8.478416348
555	8.475013138
556	8.471628183
557	8.463900438
558	8.462315116
559	8.461463904
560	8.454183807
561	8.452775391
562	8.449794797
563	8.443969402
564	8.438031755
565	8.436452745
566	8.434694188
567	8.433829128
568	8.433237419
569	8.432911787
570	8.430775505
571	8.430285312
572	8.429091156
573	8.426211433
574	8.423829984
575	8.417627136
576	8.416008309
577	8.411042153
578	8.407846158
579	8.406013183
580	8.404942051
581	8.400431843
582	8.396709629
583	8.391684094
584	8.387821765
585	8.386912145
586	8.386695977
587	8.378346185
588	8.373640196
589	8.371280823
590	8.371199279
591	8.365480776
592	8.364690027
593	8.363498355
594	8.360778265
595	8.358370603
596	8.356176899
597	8.354003628
598	8.344344214
599	8.33701919
600	8.335663324
601	8.334652211
602	8.333519232
603	8.330644686
604	8.328225553
605	8.325690802
606	8.321523291
607	8.319954965
608	8.318117384
609	8.318025098
610	8.317020951
611	8.316204226
612	8.312655401
613	8.312574276
614	8.311338748
615	8.310220007
616	8.308834551
617	8.308549637
618	8.30686778
619	8.306373638
620	8.305894615
621	8.299837295
622	8.295769902
623	8.291263273
624	8.288430234
625	8.284891422
626	8.284201207
627	8.281701614
628	8.279617033
629	8.277427524
630	8.274864228
631	8.269787885
632	8.267294771
633	8.264918169
634	8.260096775
635	8.258391625
636	8.249461999
637	8.245886308
638	8.244322932
639	8.243301061
640	8.233606216
641	8.231768468
642	8.227033611
643	8.225008357
644	8.222116848
645	8.218751682
646	8.216127935
647	8.213387107
648	8.207438264
649	8.203046667
650	8.200684849
651	8.19825581
652	8.195287999
653	8.194881988
654	8.192099687
655	8.191190248
656	8.184876724
657	8.181324024
658	8.179306152
659	8.177552293
660	8.177125901
661	8.173053635
662	8.172618771
663	8.169847792
664	8.164796552
665	8.1643871
666	8.15900373
667	8.157807422
668	8.145778875
669	8.139899675
670	8.137252945
671	8.131488132
672	8.126401013
673	8.125326179
674	8.120345181
675	8.118830456
676	8.117187871
677	8.116808351
678	8.113459863
679	8.111325299
680	8.106684702
681	8.101403041
682	8.09809512
683	8.094114071
684	8.092987796
685	8.087599675
686	8.086413606
687	8.083508857
688	8.080539696
689	8.080485069
690	8.073112777
691	8.070933476
692	8.068952581
693	8.065929721
694	8.060600543
695	8.060250032
696	8.058942978
697	8.058564028
698	8.052579842
699	8.051022638
700	8.046497897
701	8.044137806
702	8.042240703
703	8.041804361
704	8.040093085
705	8.039638067
706	8.034274219
707	8.029383312
708	8.027094474
709	8.026769416
710	8.02369115
711	8.022886327
712	8.019003591
713	8.016820425
714	8.01644052
715	8.015677193
716	8.015529572
717	8.01201008
718	8.007840596
719	8.004233445
720	7.998879595
721	7.997749569
722	7.996184959
723	7.996055611
724	7.992623339
725	7.989339235
726	7.981966176
727	7.976843044
728	7.975444636
729	7.975275109
730	7.97523964
731	7.971396874
732	7.969365875
733	7.964440845
734	7.962124529
735	7.956966862
736	7.955412582
737	7.952430425
738	7.951369366
739	7.947213648
740	7.944527145
741	7.944392539
742	7.938967821
743	7.931560572
744	7.925739567
745	7.921720057
746	7.920375958
747	7.91985871
748	7.917320546
749	7.917017493
750	7.913944765
751	7.908205611
752	7.90728929
753	7.902028124
754	7.901291405
755	7.897089869
756	7.89565609
757	7.894012507
758	7.893489643
759	7.887694062
760	7.886064214
761	7.885716474
762	7.880529219
763	7.879581495
764	7.878388763
765	7.877476056
766	7.870458892
767	7.863817588
768	7.862294003
769	7.862107499
770	7.86008151
771	7.858125747
772	7.855177714
773	7.848645031
774	7.845363854
775	7.843377321
776	7.841520751
777	7.839369459
778	7.836295585
779	7.831580807
780	7.831358297
781	7.831245761
782	7.830561753
783	7.825979201
784	7.8220106
785	7.81969863
786	7.818791347
787	7.815865505
788	7.812089167
789	7.809651037
790	7.806091991
791	7.803465674
792	7.802311533
793	7.799923532
794	7.794688193
795	7.791615446
796	7.790333239
797	7.788308835
798	7.787722733
799	7.785734786
800	7.783584969
801	7.777414469
802	7.777102215
803	7.774454705
804	7.771540314
805	7.771106851
806	7.770119977
807	7.76982733
808	7.766093378
809	7.75809456
810	7.756626365
811	7.755553261
812	7.749226425
813	7.74713806
814	7.743084297
815	7.739807511
816	7.736398648
817	7.73337923
818	7.730478912
819	7.726353738
820	7.726182933
821	7.723569418
822	7.720806929
823	7.717198897
824	7.713825042
825	7.713790593
826	7.709892596
827	7.709558186
828	7.708841266
829	7.705204184
830	7.704250132
831	7.701623439
832	7.700518478
833	7.697290324
834	7.697153069
835	7.695243295
836	7.691551602
837	7.69129275
838	7.685767559
839	7.684674483
840	7.680690774
841	7.678212129
842	7.675565026
843	7.674363144
844	7.674159524
845	7.669794541
846	7.668614091
847	7.666966459
848	7.665739974
849	7.661654246
850	7.661422347
851	7.659821226
852	7.654307407
853	7.653454685
854	7.649388468
855	7.646666445
856	7.643064786
857	7.639824433
858	7.638179434
859	7.635801878
860	7.632063339
861	7.627727689
862	7.627206205
863	7.623872047
864	7.623770868
865	7.620752343
866	7.615739359
867	7.615392688
868	7.612434401
869	7.611972297
870	7.608170041
871	7.606316629
872	7.602032625
873	7.600359796
874	7.600108404
875	7.597291839
876	7.590424376
877	7.587673787
878	7.585486218
879	7.584679407
880	7.583484615
881	7.580471185
882	7.575832936
883	7.569460992
884	7.567647134
885	7.563727841
886	7.559041338
887	7.557779681
888	7.552590988
889	7.55232717
890	7.552041572
891	7.550482242
892	7.550457844
893	7.547675461
894	7.542530259
895	7.541782503
896	7.540426655
897	7.538142726
898	7.538100648
899	7.535285391
900	7.531546113
901	7.529996409
902	7.527376898
903	7.526103353
904	7.521469132
905	7.519836422
906	7.516806672
907	7.514641067
908	7.509093642
909	7.507104405
910	7.502281293
911	7.500364128
912	7.49831656
913	7.498049765
914	7.496044078
915	7.494158753
916	7.490931865
917	7.490750081
918	7.490560844
919	7.487468826
920	7.484444142
921	7.481994453
922	7.478459561
923	7.477630338
924	7.475361707
925	7.474239011
926	7.472608204
927	7.471545293
928	7.468924698
929	7.465814436
930	7.464635948
931	7.461923467
932	7.45562702
933	7.451439235
934	7.445805471
935	7.443674436
936	7.442918132
937	7.440993603
938	7.439901499
939	7.437181555
940	7.433407938
941	7.43179519
942	7.429391532
943	7.422356008
944	7.421278813
945	7.420968305
946	7.418728226
947	7.41376359
948	7.410230774
949	7.40600404
950	7.405670462
951	7.402012348
952	7.397491087
953	7.393694939
954	7.391369756
955	7.387549683
956	7.38486129
957	7.381781795
958	7.378892667
959	7.375781209
960	7.370147257
961	7.369575142
962	7.368147376
963	7.362855032
964	7.362043008
965	7.361288254
966	7.361234541
967	7.359882078
968	7.357801109
969	7.354798306
970	7.353118082
971	7.349496862
972	7.347588554
973	7.346283764
974	7.344385552
975	7.340351515
976	7.336275517
977	7.335471856
978	7.333531523
979	7.33065982
980	7.326355889
981	7.326316745
982	7.324184806
983	7.323386973
984	7.319037729
985	7.318548785
986	7.316144706
987	7.314229477
988	7.311240463
989	7.307618209
990	7.307470038
991	7.301414515
992	7.300879444
993	7.298625646
994	7.29743894
995	7.296718753
996	7.294138012
997	7.293068005
998	7.292159248
999	7.290904576
