iter	Passed	Remaining
0	8	8091
1	18	9316
2	27	9229
3	36	9150
4	45	9069
5	54	9021
6	63	8986
7	72	8946
8	81	8925
9	89	8894
10	98	8874
11	107	8848
12	116	8843
13	125	8811
14	134	8843
15	143	8842
16	154	8923
17	163	8920
18	172	8893
19	181	8897
20	190	8888
21	199	8864
22	208	8859
23	217	8839
24	226	8826
25	235	8815
26	244	8801
27	252	8782
28	261	8758
29	270	8744
30	279	8727
31	288	8713
32	297	8704
33	305	8686
34	314	8667
35	322	8647
36	331	8629
37	340	8615
38	349	8604
39	357	8591
40	366	8575
41	375	8556
42	379	8447
43	388	8433
44	397	8427
45	405	8420
46	414	8408
47	423	8400
48	432	8391
49	441	8384
50	450	8376
51	459	8368
52	468	8363
53	477	8357
54	486	8350
55	495	8344
56	504	8351
57	514	8355
58	523	8349
59	532	8344
60	541	8335
61	550	8323
62	558	8310
63	567	8297
64	575	8280
65	584	8268
66	592	8255
67	601	8241
68	609	8227
69	616	8188
70	624	8177
71	634	8172
72	643	8165
73	651	8154
74	660	8143
75	669	8133
76	677	8125
77	686	8115
78	695	8103
79	703	8092
80	712	8083
81	721	8079
82	730	8072
83	739	8066
84	748	8056
85	757	8048
86	766	8041
87	775	8033
88	784	8025
89	792	8016
90	801	8009
91	810	7999
92	818	7986
93	827	7975
94	836	7969
95	845	7960
96	854	7950
97	862	7941
98	871	7931
99	879	7918
100	888	7908
101	897	7897
102	905	7888
103	914	7879
104	923	7870
105	932	7861
106	940	7849
107	948	7837
108	958	7832
109	968	7839
110	978	7833
111	988	7836
112	999	7848
113	1010	7855
114	1021	7863
115	1038	7910
116	1048	7915
117	1059	7921
118	1072	7936
119	1084	7951
120	1094	7951
121	1104	7945
122	1114	7944
123	1124	7941
124	1134	7943
125	1145	7942
126	1154	7936
127	1163	7923
128	1171	7908
129	1179	7896
130	1188	7885
131	1197	7874
132	1206	7864
133	1215	7854
134	1224	7843
135	1233	7833
136	1241	7822
137	1250	7811
138	1258	7798
139	1267	7789
140	1276	7778
141	1285	7768
142	1294	7758
143	1303	7746
144	1311	7735
145	1320	7725
146	1329	7712
147	1337	7701
148	1346	7690
149	1355	7678
150	1363	7668
151	1372	7658
152	1381	7648
153	1390	7638
154	1398	7626
155	1407	7613
156	1416	7604
157	1424	7593
158	1433	7583
159	1442	7572
160	1451	7562
161	1460	7552
162	1468	7542
163	1477	7530
164	1485	7519
165	1494	7508
166	1502	7496
167	1511	7486
168	1520	7475
169	1529	7466
170	1538	7456
171	1546	7445
172	1555	7435
173	1563	7424
174	1572	7414
175	1581	7404
176	1590	7394
177	1598	7384
178	1607	7373
179	1616	7364
180	1625	7354
181	1634	7345
182	1642	7334
183	1651	7325
184	1660	7317
185	1669	7305
186	1678	7295
187	1686	7285
188	1695	7275
189	1704	7264
190	1712	7255
191	1721	7244
192	1729	7233
193	1738	7223
194	1747	7213
195	1756	7204
196	1764	7193
197	1773	7185
198	1782	7174
199	1791	7165
200	1800	7155
201	1808	7145
202	1817	7136
203	1826	7125
204	1834	7114
205	1843	7103
206	1851	7094
207	1860	7083
208	1869	7074
209	1878	7065
210	1887	7056
211	1895	7046
212	1904	7037
213	1913	7028
214	1922	7018
215	1931	7008
216	1939	6999
217	1948	6989
218	1957	6981
219	1966	6972
220	1976	6967
221	1986	6961
222	1995	6954
223	2004	6945
224	2013	6936
225	2022	6928
226	2031	6918
227	2040	6908
228	2049	6900
229	2058	6890
230	2066	6880
231	2075	6872
232	2084	6861
233	2093	6852
234	2103	6846
235	2112	6837
236	2121	6828
237	2129	6819
238	2138	6808
239	2147	6799
240	2155	6790
241	2165	6782
242	2173	6772
243	2182	6762
244	2191	6752
245	2199	6742
246	2208	6733
247	2217	6724
248	2226	6715
249	2235	6706
250	2243	6695
251	2252	6686
252	2261	6678
253	2270	6669
254	2279	6659
255	2287	6649
256	2296	6638
257	2305	6629
258	2313	6620
259	2322	6610
260	2331	6601
261	2340	6592
262	2348	6581
263	2357	6573
264	2366	6564
265	2375	6554
266	2384	6545
267	2392	6534
268	2401	6525
269	2410	6516
270	2419	6507
271	2427	6497
272	2436	6487
273	2444	6478
274	2453	6468
275	2462	6458
276	2471	6449
277	2479	6439
278	2488	6430
279	2497	6420
280	2505	6411
281	2514	6402
282	2523	6392
283	2532	6383
284	2540	6374
285	2549	6364
286	2558	6355
287	2567	6346
288	2575	6337
289	2584	6328
290	2593	6318
291	2601	6308
292	2610	6299
293	2619	6289
